"school_year","COUNTY","total_students","weighted_chronic_sum","num_schools","county_chronic_10%+"
"2017-18","Worcester",61877,895719.7,96,14.4758100748259
"2017-18","Hampden",33487,601872.2,56,17.9733090453012
"2017-18","Berkshire",7301,154726.8,16,21.1925489658951
"2017-18","Hampshire",8557,128085.8,18,14.9685403763001
"2017-18","Franklin",4523,96947.9,10,21.4344240548309
"2018-19","Worcester",61898,891300.3,97,14.3995007916249
"2018-19","Hampden",33871,574152.4,58,16.9511499512858
"2018-19","Berkshire",7301,144938.1,16,19.8518148198877
"2018-19","Hampshire",8557,128816.8,18,15.0539675119785
"2018-19","Franklin",4523,107689.2,10,23.8092416537696
"2019-20","Worcester",61898,936084.5,97,15.1230168987689
"2019-20","Hampden",33871,566696.3,58,16.7310176847451
"2019-20","Berkshire",7301,153182.6,16,20.9810436926448
"2019-20","Hampshire",8557,121590.9,18,14.2095243660161
"2019-20","Franklin",4523,88963.8,10,19.6692018571744
"2020-21","Worcester",61898,1340666.9,97,21.6592927073573
"2020-21","Hampden",35118,766645.5,62,21.8305569793268
"2020-21","Berkshire",7325,191546.5,17,26.1496928327645
"2020-21","Hampshire",8557,185299.4,18,21.6547154376534
"2020-21","Franklin",4523,143436.4,10,31.712668582799
"2021-22","Worcester",61898,1762326.1,97,28.4714546512004
"2021-22","Hampden",35580,1255280.9,64,35.2805199550309
"2021-22","Berkshire",7325,261246.6,17,35.6650648464164
"2021-22","Hampshire",8557,229406.4,18,26.809208834872
"2021-22","Franklin",4523,126099,10,27.8795047534822
"2022-23","Worcester",61898,1366197.9,97,22.0717616078064
"2022-23","Hampden",35580,982516.1,64,27.6142804946599
"2022-23","Berkshire",7325,220254.7,17,30.0689010238908
"2022-23","Hampshire",8557,199066,18,23.2635269370106
"2022-23","Franklin",4523,115297.7,10,25.4914216228167
"2023-24","Worcester",62174,1362412.1,99,21.9128912407116
"2023-24","Hampden",35580,955738.3,64,26.8616722878021
"2023-24","Berkshire",7325,241445.9,17,32.9618976109215
"2023-24","Hampshire",8557,172014.2,18,20.102161972654
"2023-24","Franklin",4523,108495.4,10,23.9874861817378
"2024-25","Worcester",62210,1290866.4,100,20.7501430638161
"2024-25","Hampden",35580,938351.6,64,26.3730073074761
"2024-25","Berkshire",7325,232256.8,17,31.7074129692833
"2024-25","Hampshire",8557,169087,18,19.760079467103
"2024-25","Franklin",4523,98982.7,10,21.8843024541234
