"school_year","COUNTY","total_students","weighted_absences_sum","num_schools","county_avg_absences_weighted"
"2017-18","Berkshire",7301,88095.8,16,12.0662648952198
"2017-18","Franklin",4523,51546.3,10,11.3964846340924
"2017-18","Hampden",33487,372927.6,56,11.1364887866933
"2017-18","Hampshire",8557,88249,18,10.3130770129718
"2017-18","Worcester",61877,598749.1,96,9.6764403574834
"2018-19","Franklin",4523,54706,10,12.0950696440416
"2018-19","Berkshire",7301,86404.7,16,11.8346390905355
"2018-19","Hampden",33871,365748.2,58,10.7982699064096
"2018-19","Hampshire",8557,86816.4,18,10.1456585251841
"2018-19","Worcester",61898,606790.5,97,9.80307118162137
"2019-20","Berkshire",7301,54068.5,16,7.4056293658403
"2019-20","Franklin",4523,32265.2,10,7.13358390448817
"2019-20","Hampden",33871,228373.9,58,6.742461102418
"2019-20","Worcester",61898,370081.5,97,5.97889269443278
"2019-20","Hampshire",8557,50917.5,18,5.95039149234545
"2020-21","Franklin",4523,74299.2,10,16.4269732478444
"2020-21","Berkshire",7325,107990.9,17,14.7427849829352
"2020-21","Hampden",35118,447428.5,62,12.7407170112193
"2020-21","Hampshire",8557,101026.9,18,11.8063456818979
"2020-21","Worcester",61898,724594,97,11.7062586836408
"2021-22","Berkshire",7325,134059.1,17,18.3015836177474
"2021-22","Hampden",35580,614153.4,64,17.261197301855
"2021-22","Worcester",61898,914210.4,97,14.769627451614
"2021-22","Hampshire",8557,122309.7,18,14.2935257683768
"2021-22","Franklin",4523,62265.3,10,13.7663718770727
"2022-23","Franklin",4523,74949.9,10,16.5708379394207
"2022-23","Berkshire",7325,117928.9,17,16.0995085324232
"2022-23","Hampden",35580,526019.9,64,14.7841455874087
"2022-23","Hampshire",8557,115187.9,18,13.46124810097
"2022-23","Worcester",61898,785548.6,97,12.6910174803709
"2023-24","Berkshire",7325,126651.3,17,17.2902798634812
"2023-24","Franklin",4523,69475,10,15.3603802785762
"2023-24","Hampden",35580,513055.6,64,14.4197751545812
"2023-24","Worcester",62174,787147.1,99,12.6603901952585
"2023-24","Hampshire",8557,106705.3,18,12.4699427369405
"2024-25","Berkshire",7325,123251.7,17,16.8261706484642
"2024-25","Hampden",35580,512896.4,64,14.4153007307476
"2024-25","Worcester",62210,773901.1,100,12.4401398488989
"2024-25","Hampshire",8557,106023.7,18,12.3902886525652
"2024-25","Franklin",4523,53861.8,10,11.9084236126465
